"doc_id","volume","state_variation","version_date","source_file","path","anchor_id","parent_anchor_id","order_in_parent","para_start","para_end","unit_label","unit_type","compliance_weight","title","text","text_html","defined_term","contains_shall","contains_must","external_refs","internal_refs","satisfies_pr_ids","related_unit_ids","asset_type","asset_id","asset_caption","asset_alt_text","page_start","page_end","bbox_json","extract_confidence","warnings","ncc_pathway","normative_status","conditionality","heading_context","raw_title","raw_text","applies_state","variation_action","affected_unit_label","affected_subparts","affects_anchor_id","table_grid_json","table_key_values","base_unit_label","affected_subclause","conditions_text","exceptions_text","requirements_list","standards_referenced","notes_quality","discipline","table_purpose","table_id","table_label","applies_to_volume","applies_to_class","volume_hierarchy","dataset_coverage","scope_conditions","formula_json","constant_value","constant_name","pathway_alternative_to","verification_method_for","section_code","part_code","indexable","ncc_anchor","full_clause_text"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A1G3","","1","N/A","N/A","A1G3","GOVERNING_REQUIREMENT","MANDATORY","of NCC Volume Three Scope","of NCC Volume Three Scope","of NCC Volume Three Scope","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","of NCC Volume Three Scope","of NCC Volume Three Scope","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","","","Volume One","","Volume One","","","","","","","","A","A1","true","SCOPE","of NCC Volume Three Scope"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A1G4","","2","N/A","N/A","A1G4","GOVERNING_REQUIREMENT","MANDATORY","Interpretation","Part A2 the NCCCompliancewith Governing Requirements Governing Requirements","Part A2 the NCCCompliancewith Governing Requirements Governing Requirements","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Interpretation","Part A2 the NCCCompliancewith Governing Requirements Governing Requirements","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","Table A1G4_1","Table A1G4_1","Volume One","","Volume One","","","","","","","","A","A1","true","TABLE","Part A2 the NCCCompliancewith Governing Requirements Governing Requirements"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A2G1","","3","N/A","N/A","A2G1","GOVERNING_REQUIREMENT","MANDATORY","Compliance","Compliance","Compliance","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Compliance","Compliance","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","","","Volume One","","Volume One","","","","","","","","A","A2","true","","Compliance"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A2G2","","4","N/A","N/A","A2G2","GOVERNING_REQUIREMENT","MANDATORY","Performance Solution","Performance Solution","Performance Solution","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Performance Solution","Performance Solution","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","","","Volume One","","Volume One","","","","","","","","A","A2","true","","Performance Solution"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A2G3","","5","N/A","N/A","A2G3","GOVERNING_REQUIREMENT","MANDATORY","Deemed-to-Satisfy Solution","Deemed-to-Satisfy Solution","Deemed-to-Satisfy Solution","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Deemed-to-Satisfy Solution","Deemed-to-Satisfy Solution","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","","","Volume One","","Volume One","","","","","","","","A","A2","true","","Deemed-to-Satisfy Solution"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A2G4","","6","N/A","N/A","A2G4","GOVERNING_REQUIREMENT","MANDATORY","A combination of solutions","Part A3 of the NCC States and Territories Applicationin Governing Requirements Governing Requirements","Part A3 of the NCC States and Territories Applicationin Governing Requirements Governing Requirements","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","A combination of solutions","Part A3 of the NCC States and Territories Applicationin Governing Requirements Governing Requirements","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","Table A2G4_1","Table A2G4_1","Volume One","","Volume One","","","","","","","","A","A2","true","TABLE","Part A3 of the NCC States and Territories Applicationin Governing Requirements Governing Requirements"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A3G1","","7","N/A","N/A","A3G1","GOVERNING_REQUIREMENT","MANDATORY","State and Territory compliance","Part A4 Referenced documents Governing Requirements Part A5 Documentation andofdesign construction Governing Requirements Governing Requirements","Part A4 Referenced documents Governing Requirements Part A5 Documentation andofdesign construction Governing Requirements Governing Requirements","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","State and Territory compliance","Part A4 Referenced documents Governing Requirements Part A5 Documentation andofdesign construction Governing Requirements Governing Requirements","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","Table A3G1_1","Table A3G1_1","Volume One","","Volume One","","","","","","","","A","A3","true","TABLE","Part A4 Referenced documents Governing Requirements Part A5 Documentation andofdesign construction Governing Requirements Governing Requirements"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A5G1","","8","N/A","N/A","A5G1","GOVERNING_REQUIREMENT","MANDATORY","Suitability","Suitability","Suitability","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Suitability","Suitability","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","","","Volume One","","Volume One","","","","","","","","A","A5","true","","Suitability"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A5G9","","9","N/A","N/A","A5G9","GOVERNING_REQUIREMENT","MANDATORY","NatHERS","NatHERS","NatHERS","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","NatHERS","NatHERS","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","Table A5G9_1","Table A5G9_1","Volume One","","Volume One","","","","","","","","A","A5","true","TABLE","Governing Requirements"
"NCC V1","Volume One","","2022","NCC2022-volume-one.docx","Volume One","VOLUME_ONE::ROOT::GOVERNING_REQUIREMENT::A6G1","","10","N/A","N/A","A6G1","GOVERNING_REQUIREMENT","MANDATORY","a classification Determiningbuilding","a classification Determiningbuilding","a classification Determiningbuilding","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","a classification Determiningbuilding","a classification Determiningbuilding","NOT_APPLICABLE","","","","","","","","","","","","","","governing","","","","Volume One","","Volume One","","","","","","","","A","A5","true","","a classification Determiningbuilding"
