"volume","part_code","section_code","table_id","unit_type","table_title","table_content","content_part","content_parts_total","called_in","clause_reference","source","context","clause_count","first_clause_id","last_clause_id","archived","state_territory","source_file","ncc_version"
"Vol3","A","A","Table S2C26a","table","Table S2C26a","For the building, where Vertical; and 450 apply, 450 must be provided or applied in accordance with Clause S2C26. For the building, where Non-vertical; and 300 apply, 300 must be provided or applied in accordance with Clause S2C26. For the building, where Underside; and 300 apply, 300 must be provided or applied in accordance with Clause S2C26. For the building, where Upper side of a horizontal surface; and Not required apply, the relevant requirement must be met in accordance with Clause S2C26.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S2C26b","table","Table S2C26b","For the building, where Vertical; and Any size apply, 450 must be provided or applied in accordance with Clause S2C26. For the building, where Non-vertical; and Any size apply, 300 must be provided or applied in accordance with Clause S2C26. For the building, where Undersize; and Any size apply, 300 must be provided or applied in accordance with Clause S2C26. For the building, where Upper side of a horizontal surface; and Not required apply, the relevant requirement must be met in accordance with Clause S2C26.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S3C6_4","table","Table S3C6_4","For the building, where Part B2 applies, the relevant requirement must be met in accordance with Clause S3C6.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S3C6_5","table","Table S3C6_5","For the building, where Part B4 applies, Fire-fighting water services Objectives B4O1 Objective Functional Statements B4F1 Fire-fighting water supply Performance Requirements B4P1 Flow rate and pressure B4P2 Access and isolation B4P3 Fire-fighting water storage B4P4 Uncontrolled discharge Deemed-to-Satisfy Provisions B4D1 Deemed-to-Satisfy Provisions B4D2 General requirements must be provided or applied in accordance with Clause S3C6.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S3C6_6","table","Table S3C6_6","For the building, where Part B6 applies, Rainwater services Objectives B6O1 Objective Functional Statements B6F1 Rainwater service Performance Requirements B6P1 Pressure B6P2 Velocity B6P3 Water efficiency B6P4 Access and isolation B6P5 Identification B6P6 Uncontrolled discharge Deemed-to-Satisfy Provisions B6D1 Deemed-to-Satisfy Provisions B6D2 General requirements B6D3 Identification B6D4 Water efficiency B6D5 Access and isolation B6D6 Bushfire prone areas must be provided or applied in accordance with Clause S3C6. For the building, where Part B7 applies, Rainwater storage Objectives B7O1 Objective Functional Statements B7F1 Rainwater storage must be provided or applied in accordance with Clause S3C6.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table A1G4_3","table","Table A1G4_3","For the building, where A5G4 applies, Evidence of suitability Volume Three (PCA) must be provided or applied in accordance with Clause A5G4.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2a","table","Table S1C2a","For the building, where Masonry type; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Clause S1C2. For the building, where Ashlar; and -; and -; and -; and - apply, 300 must be provided or applied in accordance with Clause S1C2. For the building, where Calcium silicate; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Clause S1C2. For the building, where Concrete; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Clause S1C2. For the building, where Fired clay; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2b","table","Table S1C2b","For the building, where Concrete type; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Clause S1C2. For the building, where No fines; and -; and -; and -; and 150 apply, 300 must be provided or applied in accordance with Clause S1C2. For the building, where Prestressed; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Clause S1C2. For the building, where Reinforced; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Clause S1C2. For the building, where Plain; and -; and -; and -; and 150 apply, 170 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2c","table","Table S1C2c","For the building, where Gypsum type; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Clause S1C2. For the building, where Solid gypsum blocks; and 75; and 90; and 100; and 110 apply, 125 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum vermiculite-plaster on metal lath and channel (non-loadbearingwalls only); and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2d","table","Table S1C2d","For the building, where Column type; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Clause S1C2. For the building, where Prestressed; and See clause; and S1C2(d)(ii) apply, the relevant requirement must be met in accordance with Clause S1C2. For the building, where Reinforced; and See clause; and S1C2(d)(ii) apply, the relevant requirement must be met in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
